departamento,municipio,votos,atipico_volumen
CUNDINAMARCA,GUASCA,7223,False
NARINO,PUPIALES,7222,False
CUNDINAMARCA,GACHANCIPA,7220,False
BOLIVAR,CALAMAR,7205,False
HUILA,ALGECIRAS,7165,False
MAGDALENA,NUEVA GRANADA,7142,False
BOYACA,AQUITANIA,7134,False
CUNDINAMARCA,CHOACHI,7129,False
CALDAS,PALESTINA,7102,False
ANTIOQUIA,JARDIN,7070,False
CUNDINAMARCA,SUESCA,7049,False
VICHADA,PUERTO CARRENO,7020,False
CESAR,PAILITAS,7008,False
BOYACA,GARAGOA,6996,False
VALLE DEL CAUCA,YOTOCO,6995,False
ANTIOQUIA,YONDO,6983,False
CESAR,PELAYA,6968,False
ANTIOQUIA,PUERTO TRIUNFO,6963,False
ANTIOQUIA,SAN JUAN DE URABA,6916,False
CAQUETA,EL DONCELLO,6884,False
VALLE DEL CAUCA,BOLIVAR,6862,False
SUCRE,SAN JUAN DE BETULIA,6842,False
META,VISTAHERMOSA,6808,False
CUNDINAMARCA,TOCAIMA,6807,False
NARINO,TAMINANGO,6774,False
VALLE DEL CAUCA,CALIMA,6760,False
CONSULADOS,PANAMA,6736,False
TOLIMA,NATAGAIMA,6723,False
SANTANDER,PUENTE NACIONAL,6722,False
VALLE DEL CAUCA,RESTREPO,6703,False
HUILA,SUAZA,6701,False
TOLIMA,SALDANA,6693,False
ANTIOQUIA,CANASGORDAS,6671,False
CUNDINAMARCA,NEMOCON,6664,False
BOLIVAR,SAN ESTANISLAO,6640,False
CASANARE,MANI,6636,False
CAUCA,GUAPI,6634,False
BOLIVAR,PINILLOS,6600,False
BOLIVAR,CORDOBA,6594,False
ANTIOQUIA,ABEJORRAL,6582,False
CORDOBA,LOS CORDOBAS,6581,False
CUNDINAMARCA,ANOLAIMA,6564,False
ANTIOQUIA,SAN ROQUE,6536,False
NORTE DE SANTANDER,TOLEDO,6528,False
TOLIMA,RIOBLANCO,6458,False
CAUCA,SUAREZ,6449,False
BOLIVAR,VILLANUEVA,6442,False
HUILA,GUADALUPE,6428,False
CUNDINAMARCA,PUERTO SALGAR,6422,False
CORDOBA,PURISIMA DE LA CONCEPCION,6421,False
CAUCA,TIMBIQUI,6408,False
TOLIMA,SAN LUIS,6403,False
CALDAS,PACORA,6392,False
CAUCA,BALBOA,6360,False
HUILA,TARQUI,6317,False
VALLE DEL CAUCA,LA CUMBRE,6316,False
ANTIOQUIA,SAN JERONIMO,6291,False
ATLANTICO,CANDELARIA,6246,False
SANTANDER,EL PLAYON,6164,False
LA GUAJIRA,HATONUEVO,6144,False
CUNDINAMARCA,RICAURTE,6122,False
CAQUETA,CARTAGENA DEL CHAIRA,6102,False
ANTIOQUIA,CONCORDIA,6100,False
BOLIVAR,TURBANA,6086,False
CALDAS,MARQUETALIA,6082,False
ANTIOQUIA,YOLOMBO,6054,False
ANTIOQUIA,AMALFI,6049,False
NARINO,EL TAMBO,6027,False
ATLANTICO,MANATI,6013,False
ANTIOQUIA,REMEDIOS,6009,False
ANTIOQUIA,SAN RAFAEL,5992,False
NARINO,SAN LORENZO,5990,False
SANTANDER,EL CARMEN DE CHUCURI,5988,False
RISARALDA,SANTUARIO,5967,False
VALLE DEL CAUCA,TORO,5961,False
MAGDALENA,EL RETEN,5961,False
CHOCO,RIOSUCIO,5943,False
CUNDINAMARCA,VIOTA,5941,False
CESAR,PUEBLO BELLO,5913,False
CUNDINAMARCA,FOMEQUE,5908,False
ANTIOQUIA,SAN LUIS,5908,False
QUINDIO,FILANDIA,5906,False
CORDOBA,CHIMA,5889,False
CONSULADOS,INGLATERRA,5883,False
ANTIOQUIA,DABEIBA,5883,False
ANTIOQUIA,SOPETRAN,5880,False
VALLE DEL CAUCA,LA VICTORIA,5824,False
CESAR,LA GLORIA,5804,False
CALDAS,ARANZAZU,5791,False
CORDOBA,CANALETE,5775,False
CUNDINAMARCA,ARBELAEZ,5718,False
RISARALDA,GUATICA,5717,False
MAGDALENA,SITIONUEVO,5716,False
CONSULADOS,MEXICO,5714,False
TOLIMA,VENADILLO,5710,False
SUCRE,COVENAS,5686,False
BOLIVAR,MORALES,5672,False
CAUCA,LA VEGA,5657,False
SUCRE,GUARANDA,5649,False
CONSULADOS,FRANCIA,5629,False
RISARALDA,APIA,5624,False
ANTIOQUIA,TARAZA,5616,False
ANTIOQUIA,JERICO,5601,False
BOYACA,TIBASOSA,5577,False
BOYACA,VENTAQUEMADA,5561,False
CALDAS,BELALCAZAR,5556,False
CUNDINAMARCA,AGUA DE DIOS,5542,False
ANTIOQUIA,SALGAR,5530,False
ANTIOQUIA,CACERES,5516,False
PUTUMAYO,SIBUNDOY,5492,False
CUNDINAMARCA,SESQUILE,5487,False
HUILA,LA ARGENTINA,5478,False
CUNDINAMARCA,SIMIJACA,5459,False
ANTIOQUIA,NECHI,5450,False
VALLE DEL CAUCA,ALCALA,5449,False
CORDOBA,LA APARTADA,5435,False
CASANARE,TRINIDAD,5429,False
MAGDALENA,CHIVOLO,5422,False
BOYACA,SANTA ROSA DE VITERBO,5414,False
MAGDALENA,EL PINON,5407,False
ANTIOQUIA,ZARAGOZA,5406,False
ANTIOQUIA,FRONTINO,5395,False
ANTIOQUIA,PUERTO NARE,5394,False
CUNDINAMARCA,CACHIPAY,5394,False
VALLE DEL CAUCA,OBANDO,5385,False
VAUPES,MITU,5367,False
NARINO,EL TABLON DE GOMEZ,5366,False
TOLIMA,SAN ANTONIO,5361,False
SANTANDER,CURITI,5345,False
NARINO,SAN PABLO,5332,False
BOLIVAR,SIMITI,5322,False
VALLE DEL CAUCA,VIJES,5317,False
CAUCA,TOTORO,5288,False
NORTE DE SANTANDER,PUERTO SANTANDER,5279,False
HUILA,TELLO,5274,False
