departamento,municipio,votos
ANTIOQUIA,SAN RAFAEL,5992
NARINO,SAN LORENZO,5990
SANTANDER,EL CARMEN DE CHUCURI,5988
RISARALDA,SANTUARIO,5967
VALLE DEL CAUCA,TORO,5961
MAGDALENA,EL RETEN,5961
CHOCO,RIOSUCIO,5943
CUNDINAMARCA,VIOTA,5941
CESAR,PUEBLO BELLO,5913
CUNDINAMARCA,FOMEQUE,5908
ANTIOQUIA,SAN LUIS,5908
QUINDIO,FILANDIA,5906
CORDOBA,CHIMA,5889
CONSULADOS,INGLATERRA,5883
ANTIOQUIA,DABEIBA,5883
ANTIOQUIA,SOPETRAN,5880
VALLE DEL CAUCA,LA VICTORIA,5824
CESAR,LA GLORIA,5804
CALDAS,ARANZAZU,5791
CORDOBA,CANALETE,5775
CUNDINAMARCA,ARBELAEZ,5718
RISARALDA,GUATICA,5717
MAGDALENA,SITIONUEVO,5716
CONSULADOS,MEXICO,5714
TOLIMA,VENADILLO,5710
SUCRE,COVENAS,5686
BOLIVAR,MORALES,5672
CAUCA,LA VEGA,5657
SUCRE,GUARANDA,5649
CONSULADOS,FRANCIA,5629
RISARALDA,APIA,5624
ANTIOQUIA,TARAZA,5616
ANTIOQUIA,JERICO,5601
BOYACA,TIBASOSA,5577
BOYACA,VENTAQUEMADA,5561
CALDAS,BELALCAZAR,5556
CUNDINAMARCA,AGUA DE DIOS,5542
ANTIOQUIA,SALGAR,5530
ANTIOQUIA,CACERES,5516
PUTUMAYO,SIBUNDOY,5492
CUNDINAMARCA,SESQUILE,5487
HUILA,LA ARGENTINA,5478
CUNDINAMARCA,SIMIJACA,5459
ANTIOQUIA,NECHI,5450
VALLE DEL CAUCA,ALCALA,5449
CORDOBA,LA APARTADA,5435
CASANARE,TRINIDAD,5429
MAGDALENA,CHIVOLO,5422
BOYACA,SANTA ROSA DE VITERBO,5414
MAGDALENA,EL PINON,5407
ANTIOQUIA,ZARAGOZA,5406
ANTIOQUIA,FRONTINO,5395
ANTIOQUIA,PUERTO NARE,5394
CUNDINAMARCA,CACHIPAY,5394
VALLE DEL CAUCA,OBANDO,5385
VAUPES,MITU,5367
NARINO,EL TABLON DE GOMEZ,5366
TOLIMA,SAN ANTONIO,5361
SANTANDER,CURITI,5345
NARINO,SAN PABLO,5332
BOLIVAR,SIMITI,5322
VALLE DEL CAUCA,VIJES,5317
CAUCA,TOTORO,5288
NORTE DE SANTANDER,PUERTO SANTANDER,5279
HUILA,TELLO,5274
ANTIOQUIA,BETULIA,5272
HUILA,PITAL,5271
CUNDINAMARCA,SAN FRANCISCO,5268
BOYACA,SABOYA,5266
ANTIOQUIA,GRANADA,5247
CAUCA,MERCADERES,5242
META,SAN CARLOS DE GUAROA,5235
MAGDALENA,SABANAS DE SAN ANGEL,5228
CHOCO,TADO,5209
SANTANDER,LOS SANTOS,5201
META,FUENTE DE ORO,5199
TOLIMA,CARMEN DE APICALA,5198
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,5196
HUILA,SALADOBLANCO,5182
NARINO,EL CHARCO,5178
SANTANDER,CHARALA,5177
RISARALDA,MISTRATO,5174
PUTUMAYO,SAN MIGUEL,5150
NARINO,BARBACOAS,5133
CAUCA,JAMBALO,5132
PUTUMAYO,PUERTO LEGUIZAMO,5124
CUNDINAMARCA,SASAIMA,5124
CALDAS,RISARALDA,5106
MAGDALENA,ALGARROBO,5086
BOYACA,GUATEQUE,5080
CUNDINAMARCA,CAPARRAPI,5044
ARAUCA,FORTUL,5039
CESAR,GAMARRA,5028
ATLANTICO,TUBARA,5019
CAUCA,ALMAGUER,4986
CUNDINAMARCA,GACHETA,4968
BOLIVAR,SANTA ROSA,4965
SUCRE,LA UNION,4955
HUILA,PALESTINA,4943
ANTIOQUIA,CISNEROS,4933
MAGDALENA,TENERIFE,4926
NARINO,CHACHAGUI,4926
NORTE DE SANTANDER,CHITAGA,4920
SANTANDER,OIBA,4902
SUCRE,CAIMITO,4882
ATLANTICO,SANTA LUCIA,4859
CUNDINAMARCA,GUACHETA,4833
HUILA,SANTA MARIA,4829
ANTIOQUIA,EBEJICO,4796
CUNDINAMARCA,CHIPAQUE,4784
CUNDINAMARCA,SAN JUAN DE RIOSECO,4772
ANTIOQUIA,VENECIA,4771
SUCRE,PALMITO,4767
NARINO,CORDOBA,4729
NORTE DE SANTANDER,SALAZAR,4703
TOLIMA,ARMERO,4699
BOYACA,COMBITA,4679
NARINO,GUAITARILLA,4641
CALDAS,FILADELFIA,4640
CESAR,TAMALAMEQUE,4637
NORTE DE SANTANDER,CONVENCION,4636
META,PUERTO RICO,4635
BOLIVAR,SAN MARTIN DE LOBA,4628
NARINO,RICAURTE,4618
BOYACA,SOATA,4616
ANTIOQUIA,ENTRERRIOS,4589
CHOCO,ALTO BAUDO,4582
VALLE DEL CAUCA,EL DOVIO,4578
ANTIOQUIA,GUATAPE,4571
SUCRE,BUENAVISTA,4570
BOLIVAR,TIQUISIO,4570
MAGDALENA,SAN ZENON,4566
CASANARE,PORE,4544
NARINO,OLAYA HERRERA,4544
CUNDINAMARCA,BOJACA,4532
SUCRE,EL ROBLE,4529
HUILA,TESALIA,4526
CUNDINAMARCA,YACOPI,4508
LA GUAJIRA,URUMITA,4507
NORTE DE SANTANDER,LA ESPERANZA,4506
ANTIOQUIA,ITUANGO,4492
