departamento,municipio,candidato,votos,total_votos_candidatos,porcentaje_municipal
ANTIOQUIA,ALEJANDRIA,DUQUE MARQUEZ IVAN,1513,2126,71.16650987770461
ANTIOQUIA,ALEJANDRIA,FAJARDO VALDERRAMA SERGIO,312,2126,14.675446848541862
ANTIOQUIA,ALEJANDRIA,MORALES HOYOS VIVIANE ALEIDA,8,2126,0.37629350893697083
ANTIOQUIA,ALEJANDRIA,PETRO URREGO GUSTAVO FRANCISCO,72,2126,3.3866415804327374
ANTIOQUIA,ALEJANDRIA,TRUJILLO SARMIENTO JORGE ANTONIO,1,2126,0.047036688617121354
ANTIOQUIA,ALEJANDRIA,VARGAS LLERAS GERMAN,126,2126,5.9266227657572905
ANTIOQUIA,AMAGA,DE LA CALLE LOMBANA HUMBERTO,177,10021,1.766290789342381
ANTIOQUIA,AMAGA,DUQUE MARQUEZ IVAN,5470,10021,54.585370721484885
ANTIOQUIA,AMAGA,FAJARDO VALDERRAMA SERGIO,3298,10021,32.910887137012274
ANTIOQUIA,AMAGA,MORALES HOYOS VIVIANE ALEIDA,13,10021,0.12972757209859295
ANTIOQUIA,AMAGA,PETRO URREGO GUSTAVO FRANCISCO,598,10021,5.9674683165352755
ANTIOQUIA,AMAGA,TRUJILLO SARMIENTO JORGE ANTONIO,15,10021,0.1496856601137611
ANTIOQUIA,AMAGA,VARGAS LLERAS GERMAN,450,10021,4.490569803412833
ANTIOQUIA,AMALFI,DE LA CALLE LOMBANA HUMBERTO,99,5705,1.7353198948290973
ANTIOQUIA,AMALFI,DUQUE MARQUEZ IVAN,3354,5705,58.79053461875547
ANTIOQUIA,AMALFI,FAJARDO VALDERRAMA SERGIO,1639,5705,28.729184925503944
ANTIOQUIA,AMALFI,MORALES HOYOS VIVIANE ALEIDA,11,5705,0.19281332164767748
ANTIOQUIA,AMALFI,PETRO URREGO GUSTAVO FRANCISCO,261,5705,4.574934268185802
ANTIOQUIA,AMALFI,TRUJILLO SARMIENTO JORGE ANTONIO,34,5705,0.5959684487291849
ANTIOQUIA,AMALFI,VARGAS LLERAS GERMAN,307,5705,5.381244522348816
ANTIOQUIA,ANDES,DE LA CALLE LOMBANA HUMBERTO,129,14954,0.8626454460345058
ANTIOQUIA,ANDES,DUQUE MARQUEZ IVAN,9743,14954,65.15313628460613
ANTIOQUIA,ANDES,FAJARDO VALDERRAMA SERGIO,2748,14954,18.376354152735054
ANTIOQUIA,ANDES,MORALES HOYOS VIVIANE ALEIDA,38,14954,0.2541126120101645
ANTIOQUIA,ANDES,PETRO URREGO GUSTAVO FRANCISCO,713,14954,4.767955062190718
ANTIOQUIA,ANDES,TRUJILLO SARMIENTO JORGE ANTONIO,19,14954,0.12705630600508225
ANTIOQUIA,ANDES,VARGAS LLERAS GERMAN,1564,14954,10.45874013641835
ANTIOQUIA,ANGELOPOLIS,DE LA CALLE LOMBANA HUMBERTO,67,2458,2.7257933279088693
ANTIOQUIA,ANGELOPOLIS,DUQUE MARQUEZ IVAN,1717,2458,69.85353946297803
ANTIOQUIA,ANGELOPOLIS,FAJARDO VALDERRAMA SERGIO,485,2458,19.731489015459726
ANTIOQUIA,ANGELOPOLIS,MORALES HOYOS VIVIANE ALEIDA,8,2458,0.32546786004882017
ANTIOQUIA,ANGELOPOLIS,PETRO URREGO GUSTAVO FRANCISCO,87,2458,3.5394629780309197
ANTIOQUIA,ANGELOPOLIS,TRUJILLO SARMIENTO JORGE ANTONIO,6,2458,0.24410089503661514
ANTIOQUIA,ANGELOPOLIS,VARGAS LLERAS GERMAN,88,2458,3.580146460537022
ANTIOQUIA,ANGOSTURA,DE LA CALLE LOMBANA HUMBERTO,47,2725,1.724770642201835
ANTIOQUIA,ANGOSTURA,DUQUE MARQUEZ IVAN,1841,2725,67.55963302752293
ANTIOQUIA,ANGOSTURA,FAJARDO VALDERRAMA SERGIO,634,2725,23.26605504587156
ANTIOQUIA,ANGOSTURA,MORALES HOYOS VIVIANE ALEIDA,5,2725,0.1834862385321101
ANTIOQUIA,ANGOSTURA,PETRO URREGO GUSTAVO FRANCISCO,117,2725,4.293577981651376
ANTIOQUIA,ANGOSTURA,TRUJILLO SARMIENTO JORGE ANTONIO,13,2725,0.47706422018348627
ANTIOQUIA,ANGOSTURA,VARGAS LLERAS GERMAN,68,2725,2.495412844036697
ANTIOQUIA,ANORI,DE LA CALLE LOMBANA HUMBERTO,134,2900,4.620689655172414
ANTIOQUIA,ANORI,DUQUE MARQUEZ IVAN,1394,2900,48.06896551724138
ANTIOQUIA,ANORI,FAJARDO VALDERRAMA SERGIO,805,2900,27.75862068965517
ANTIOQUIA,ANORI,MORALES HOYOS VIVIANE ALEIDA,9,2900,0.3103448275862069
